page,match,innings,category,discrepancy,numeric,sparseness
111,"Selangor v Negeri Sembilan (June 2 and 3, 1913)",Negeri Sembilan inn 2,fow_count,9 FOW entries but wickets=all out (10),-1,0.0
111,"Selangor v Negeri Sembilan (June 2 and 3, 1913)",Negeri Sembilan inn 2,fow_final_value,last FOW is 120 but all-out total is 165,-45,0.0
113,"Perak v Negeri Sembilan (August 2 and 4, 1913)",Negeri Sembilan inn 2,batting_total,"batting (90) + extras (10) = 100, but total is 110 (-10)",-10,0.0
118,"MELAKA v SINGAPORE (June 20, 1914)",MELAKA inn 1,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.0
120,"Negeri Sembilan v Perak (August 1 and 3, 1914)",Negeri Sembilan inn 2,batting_total,"batting (176) + extras (7) = 183, but total is 184 (-1)",-1,0.29
122,"PENANG v PERAK (June 9 and 11, 1916)",PERAK inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
122,"PENANG v PERAK (June 9 and 11, 1916)",PENANG inn 2,fow_count,9 FOW entries but wickets=10,-1,0.0
123,"Perak v Penang (August 5 and 7, 1916)",Perak inn 2,batting_total,"batting (82) + extras (9) = 91, but total is 89 (+2)",2,0.0
125,"SELANGOR v SINGAPORE (May 26 and 28, 1917)",SELANGOR inn 1,fow_count,7 FOW entries but wickets=10,-3,0.0
126,"Melaka v Singapore (June 3, 1918)",Singapore inn 1,fow_count,11 FOW entries but wickets=all out (10),1,0.0
127,"Perak v Selangor (June 3 and 4, 1918)",Selangor inn 1,batting_total,"batting (96) + extras (11) = 107, but total is 106 (+1)",1,0.0
131,"SELANGOR v NEGERI SEMBILAN (February 20 and 21, 1920)",SELANGOR inn 1,batting_total,"batting (0) + extras (0) = 0, but total is 240 (-240)",-240,1.0
131,"SELANGOR v NEGERI SEMBILAN (February 20 and 21, 1920)",NEGERI SEMBILAN inn 1,batting_total,"batting (0) + extras (0) = 0, but total is 87 (-87)",-87,1.0
131,"SELANGOR v NEGERI SEMBILAN (February 20 and 21, 1920)",NEGERI SEMBILAN inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 110 (-110)",-110,1.0
